tn,tp,fp,fn,Accuracy_Score,seed,feature_set,ROC-AUC,MCC,Sensitivity,Specificity,Recall_Sensitivity,Precision,Recall_Specificity
36,3,5,16,0.65,3594,clinical_base,0.517971758664955,0.04918612817551101,0.15789473684210525,0.8780487804878049,0.15789473684210525,0.375,0.8780487804878049
36,3,5,16,0.65,3594,clinical_guild,0.517971758664955,0.04918612817551101,0.15789473684210525,0.8780487804878049,0.15789473684210525,0.375,0.8780487804878049
39,3,2,16,0.7,3594,clinical_guild_split,0.5545571245186136,0.18364700495703276,0.15789473684210525,0.9512195121951219,0.15789473684210525,0.6,0.9512195121951219
39,1,2,18,0.6666666666666666,3594,brain_base,0.5019255455712451,0.008219671678347688,0.05263157894736842,0.9512195121951219,0.05263157894736842,0.3333333333333333,0.9512195121951219
37,3,4,16,0.6666666666666666,3594,brain_guild,0.5301668806161747,0.08742631518820035,0.15789473684210525,0.9024390243902439,0.15789473684210525,0.42857142857142855,0.9024390243902439
39,1,2,18,0.6666666666666666,3594,brain_guild_split,0.5019255455712451,0.008219671678347688,0.05263157894736842,0.9512195121951219,0.05263157894736842,0.3333333333333333,0.9512195121951219
40,18,1,1,0.9666666666666667,3594,AD_base,0.9614890885750962,0.9229781771501926,0.9473684210526315,0.975609756097561,0.9473684210526315,0.9473684210526315,0.975609756097561
40,18,1,1,0.9666666666666667,3594,AD_guild,0.9614890885750962,0.9229781771501926,0.9473684210526315,0.975609756097561,0.9473684210526315,0.9473684210526315,0.975609756097561
40,18,1,1,0.9666666666666667,3594,AD_guild_split,0.9614890885750962,0.9229781771501926,0.9473684210526315,0.975609756097561,0.9473684210526315,0.9473684210526315,0.975609756097561
34,8,4,14,0.7,2267,clinical_base,0.6291866028708134,0.3112715087397336,0.36363636363636365,0.8947368421052632,0.36363636363636365,0.6666666666666666,0.8947368421052632
36,9,2,13,0.75,2267,clinical_guild,0.6782296650717704,0.443934342165113,0.4090909090909091,0.9473684210526315,0.4090909090909091,0.8181818181818182,0.9473684210526315
36,7,2,15,0.7166666666666667,2267,clinical_guild_split,0.6327751196172249,0.35837977540673743,0.3181818181818182,0.9473684210526315,0.3181818181818182,0.7777777777777778,0.9473684210526315
33,4,5,18,0.6166666666666667,2267,brain_base,0.5251196172248804,0.06780157913100437,0.18181818181818182,0.868421052631579,0.18181818181818182,0.4444444444444444,0.868421052631579
37,4,1,18,0.6833333333333333,2267,brain_guild,0.5777511961722488,0.27112768548339117,0.18181818181818182,0.9736842105263158,0.18181818181818182,0.8,0.9736842105263158
37,4,1,18,0.6833333333333333,2267,brain_guild_split,0.5777511961722488,0.27112768548339117,0.18181818181818182,0.9736842105263158,0.18181818181818182,0.8,0.9736842105263158
37,21,1,1,0.9666666666666667,2267,AD_base,0.9641148325358853,0.9282296650717703,0.9545454545454546,0.9736842105263158,0.9545454545454546,0.9545454545454546,0.9736842105263158
37,21,1,1,0.9666666666666667,2267,AD_guild,0.9641148325358853,0.9282296650717703,0.9545454545454546,0.9736842105263158,0.9545454545454546,0.9545454545454546,0.9736842105263158
37,21,1,1,0.9666666666666667,2267,AD_guild_split,0.9641148325358853,0.9282296650717703,0.9545454545454546,0.9736842105263158,0.9545454545454546,0.9545454545454546,0.9736842105263158
36,3,5,16,0.65,8349,clinical_base,0.517971758664955,0.04918612817551101,0.15789473684210525,0.8780487804878049,0.15789473684210525,0.375,0.8780487804878049
36,2,5,17,0.6333333333333333,8349,clinical_guild,0.4916559691912708,-0.024181746754183074,0.10526315789473684,0.8780487804878049,0.10526315789473684,0.2857142857142857,0.8780487804878049
40,1,1,18,0.6833333333333333,8349,clinical_guild_split,0.5141206675224647,0.07318548535838088,0.05263157894736842,0.975609756097561,0.05263157894736842,0.5,0.975609756097561
38,3,3,16,0.6833333333333333,8349,brain_base,0.5423620025673941,0.13137196671500342,0.15789473684210525,0.926829268292683,0.15789473684210525,0.5,0.926829268292683
35,2,6,17,0.6166666666666667,8349,brain_guild,0.4794608472400513,-0.05621271791486973,0.10526315789473684,0.8536585365853658,0.10526315789473684,0.25,0.8536585365853658
40,2,1,17,0.7,8349,brain_guild_split,0.5404364569961488,0.17261310524530143,0.10526315789473684,0.975609756097561,0.10526315789473684,0.6666666666666666,0.975609756097561
41,18,0,1,0.9833333333333333,8349,AD_base,0.9736842105263157,0.9616714772078809,0.9473684210526315,1.0,0.9473684210526315,1.0,1.0
41,17,0,2,0.9666666666666667,8349,AD_guild,0.9473684210526316,0.9236455895150476,0.8947368421052632,1.0,0.8947368421052632,1.0,1.0
