,tn,tp,fp,fn,accuracy_score,seed,feature_set,ROC-AUC,MCC,sensitivity,specificity,recall_sensitivity,precision,recall_specificty
126,45,10,7,18,0.6875,3583,clinical_base,0.6112637362637363,0.2594595062557205,0.35714285714285715,0.8653846153846154,0.35714285714285715,0.5882352941176471,0.8653846153846154
127,46,5,6,23,0.6375,3583,clinical_guild,0.5315934065934066,0.08751575663277819,0.17857142857142858,0.8846153846153846,0.17857142857142858,0.45454545454545453,0.8846153846153846
128,47,7,5,21,0.675,3583,clinical_guild_split,0.5769230769230769,0.20550493309503587,0.25,0.9038461538461539,0.25,0.5833333333333334,0.9038461538461539
129,50,7,2,21,0.7125,3583,brain_base,0.6057692307692307,0.3193152056413065,0.25,0.9615384615384616,0.25,0.7777777777777778,0.9615384615384616
130,47,6,5,22,0.6625,3583,brain_guild,0.559065934065934,0.16361641457432444,0.21428571428571427,0.9038461538461539,0.21428571428571427,0.5454545454545454,0.9038461538461539
131,47,4,5,24,0.6375,3583,brain_guild_split,0.5233516483516483,0.07049816228444429,0.14285714285714285,0.9038461538461539,0.14285714285714285,0.4444444444444444,0.9038461538461539
132,52,27,0,1,0.9875,3583,AD_base,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
133,52,26,0,2,0.975,3583,AD_guild,0.9642857142857143,0.9456108576893004,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0
134,52,27,0,1,0.9875,3583,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
135,46,5,6,23,0.6375,3812,clinical_base,0.5315934065934066,0.08751575663277819,0.17857142857142858,0.8846153846153846,0.17857142857142858,0.45454545454545453,0.8846153846153846
136,43,4,9,24,0.5875,3812,clinical_guild,0.48489010989010983,-0.0390717543225824,0.14285714285714285,0.8269230769230769,0.14285714285714285,0.3076923076923077,0.8269230769230769
137,49,2,3,26,0.6375,3812,clinical_guild_split,0.5068681318681318,0.027066598098038335,0.07142857142857142,0.9423076923076923,0.07142857142857142,0.4,0.9423076923076923
138,44,10,8,18,0.675,3812,brain_base,0.6016483516483517,0.23220893480841856,0.35714285714285715,0.8461538461538461,0.35714285714285715,0.5555555555555556,0.8461538461538461
139,46,6,6,22,0.65,3812,brain_guild,0.5494505494505494,0.13211031413252305,0.21428571428571427,0.8846153846153846,0.21428571428571427,0.5,0.8846153846153846
140,47,6,5,22,0.6625,3812,brain_guild_split,0.559065934065934,0.16361641457432444,0.21428571428571427,0.9038461538461539,0.21428571428571427,0.5454545454545454,0.9038461538461539
141,52,25,0,3,0.9625,3812,AD_base,0.9464285714285714,0.9187795405622853,0.8928571428571429,1.0,0.8928571428571429,1.0,1.0
142,52,27,0,1,0.9875,3812,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
143,52,26,0,2,0.975,3812,AD_guild_split,0.9642857142857143,0.9456108576893004,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0
144,45,9,7,19,0.675,8280,clinical_base,0.5934065934065934,0.22276052780340766,0.32142857142857145,0.8653846153846154,0.32142857142857145,0.5625,0.8653846153846154
145,47,6,5,22,0.6625,8280,clinical_guild,0.559065934065934,0.16361641457432444,0.21428571428571427,0.9038461538461539,0.21428571428571427,0.5454545454545454,0.9038461538461539
146,48,7,4,21,0.6875,8280,clinical_guild_split,0.5865384615384616,0.23971707251587068,0.25,0.9230769230769231,0.25,0.6363636363636364,0.9230769230769231
147,48,8,4,20,0.7,8280,brain_base,0.6043956043956044,0.2788995520575487,0.2857142857142857,0.9230769230769231,0.2857142857142857,0.6666666666666666,0.9230769230769231
148,47,4,5,24,0.6375,8280,brain_guild,0.5233516483516483,0.07049816228444429,0.14285714285714285,0.9038461538461539,0.14285714285714285,0.4444444444444444,0.9038461538461539
149,48,6,4,22,0.675,8280,brain_guild_split,0.5686813186813187,0.19810721293758182,0.21428571428571427,0.9230769230769231,0.21428571428571427,0.6,0.9230769230769231
150,52,26,0,2,0.975,8280,AD_base,0.9642857142857143,0.9456108576893004,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0
151,52,27,0,1,0.9875,8280,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
